,GID,Team,Spread,Over/Under
5223,201811130CLE,CLE,6.5,218.5
5224,201811130DEN,HOU,3.5,213.5
5225,201811130DEN,DEN,-3.5,213.5
5226,201811130GSW,ATL,13.5,230.5
5227,201811130GSW,GSW,-13.5,230.5
5228,201811140BOS,CHI,12.0,211.0
5229,201811140BOS,BOS,-12.0,211.0
5230,201811140BRK,MIA,-2.0,219.0
5231,201811140BRK,BRK,2.0,219.0
5232,201811140DAL,DAL,4.5,214.0
5233,201811140DAL,UTA,-4.5,214.0
5234,201811140LAL,LAL,-3.0,227.0
5235,201811140LAL,POR,3.0,227.0
5236,201811140MIL,MIL,-9.5,216.0
5237,201811140MIL,MEM,9.5,216.0
5238,201811140MIN,MIN,-1.5,237.5
5239,201811140MIN,NOP,1.5,237.5
5240,201811140OKC,NYK,8.5,213.0
5241,201811140OKC,OKC,-8.5,213.0
5242,201811140ORL,PHI,-6.0,222.0
5243,201811140ORL,ORL,6.0,222.0
5244,201811140PHO,SAS,-5.0,211.0
5245,201811140PHO,PHO,5.0,211.0
5246,201811140TOR,TOR,-10.0,224.0
5247,201811140TOR,DET,10.0,224.0
5248,201811140WAS,CLE,12.0,220.0
5249,201811140WAS,WAS,-12.0,220.0
5250,201811150DEN,ATL,12.5,223.0
5251,201811150DEN,DEN,-12.5,223.0
5252,201811150HOU,GSW,1.5,220.0
5253,201811150HOU,HOU,-1.5,220.0
5254,201811150LAC,SAS,5.0,219.5
5255,201811150LAC,LAC,-5.0,219.5
5256,201811160BOS,BOS,-1.5,214.0
5257,201811160BOS,TOR,1.5,214.0
5258,201811160IND,IND,-5.0,212.0
5259,201811160IND,MIA,5.0,212.0
5260,201811160MEM,MEM,-6.5,213.0
5261,201811160MEM,SAC,6.5,213.0
5262,201811160MIL,MIL,-14.0,223.5
5263,201811160MIL,CHI,14.0,223.5
5264,201811160MIN,POR,-1.5,223.0
5265,201811160MIN,MIN,1.5,223.0
5266,201811160NOP,NYK,10.0,227.0
5267,201811160NOP,NOP,-10.0,227.0
5268,201811160PHI,UTA,3.0,216.5
5269,201811160PHI,PHI,-3.0,216.5
5270,201811160WAS,WAS,-6.5,221.0
5271,201811160WAS,BRK,6.5,221.0
5272,201811170BOS,UTA,4.5,208.0
5273,201811170BOS,BOS,-4.5,208.0
5274,201811170BRK,LAC,-6.0,222.0
5275,201811170BRK,BRK,6.0,222.0
5276,201811170CHI,CHI,9.0,216.5
5277,201811170CHI,TOR,-9.0,216.5
5278,201811170CHO,PHI,2.5,226.0
5279,201811170CHO,CHO,-2.5,226.0
5280,201811170DAL,DAL,4.5,216.0
5281,201811170DAL,GSW,-4.5,216.0
5282,201811170HOU,SAC,12.0,220.0
5283,201811170HOU,HOU,-12.0,220.0
5284,201811170IND,ATL,11.5,219.0
5285,201811170IND,IND,-11.5,219.0
5286,201811170NOP,NOP,1.0,225.0
5287,201811170NOP,DEN,-1.0,225.0
5288,201811170ORL,ORL,4.5,222.0
5289,201811170ORL,LAL,-4.5,222.0
5290,201811170PHO,OKC,-6.5,217.5
5291,201811170PHO,PHO,6.5,217.5
5292,201811180MIA,LAL,2.0,228.0
5293,201811180MIA,MIA,-2.0,228.0
5294,201811180MIN,MEM,4.5,212.0
5295,201811180MIN,MIN,-4.5,212.0
5296,201811180ORL,ORL,-4.5,214.0
5297,201811180ORL,NYK,4.5,214.0
5298,201811180SAS,GSW,2.5,216.0
5299,201811180SAS,SAS,-2.5,216.0
5300,201811180WAS,POR,-1.0,224.0
5301,201811180WAS,WAS,1.0,224.0
5302,201811190ATL,LAC,-7.0,228.0
5303,201811190ATL,ATL,7.0,228.0
5304,201811190CHO,BOS,-1.5,216.0
5305,201811190CHO,CHO,1.5,216.0
5306,201811190DET,CLE,10.0,211.0
5307,201811190DET,DET,-10.0,211.0
5308,201811190IND,UTA,-1.5,203.0
5309,201811190IND,IND,1.5,203.0
5310,201811190MEM,MEM,-3.0,207.0
5311,201811190MEM,DAL,3.0,207.0
5312,201811190MIL,DEN,5.0,226.5
5313,201811190MIL,MIL,-5.0,226.5
5314,201811190NOP,SAS,7.5,225.0
5315,201811190NOP,NOP,-7.5,225.0
5316,201811190PHI,PHI,-12.5,221.0
5317,201811190PHI,PHO,12.5,221.0
5318,201811190SAC,OKC,-3.0,223.0
5319,201811190SAC,SAC,3.0,223.0
5320,201811200MIA,BRK,3.0,215.5
5321,201811200MIA,MIA,-3.0,215.5
5322,201811200NYK,POR,-7.5,221.5
5323,201811200NYK,NYK,7.5,221.5
5324,201811200ORL,TOR,-6.0,222.5
5325,201811200ORL,ORL,6.0,222.5
5326,201811200WAS,LAC,1.0,230.0
5327,201811200WAS,WAS,-1.0,230.0
5328,201811210ATL,ATL,7.5,227.5
5329,201811210ATL,TOR,-7.5,227.5
5330,201811210BOS,NYK,14.0,216.5
5331,201811210BOS,BOS,-14.0,216.5
5332,201811210CHI,CHI,-2.0,212.5
5333,201811210CHI,PHO,2.0,212.5
5334,201811210CHO,IND,3.5,235.0
5335,201811210CHO,CHO,-3.5,235.0
5336,201811210CLE,CLE,9.0,221.0
5337,201811210CLE,LAL,-9.0,221.0
5338,201811210DAL,DAL,-6.5,216.5
5339,201811210DAL,BRK,6.5,216.5
5340,201811210GSW,OKC,1.0,222.5
5341,201811210GSW,GSW,-1.0,222.5
5342,201811210HOU,HOU,-8.5,215.0
5343,201811210HOU,DET,8.5,215.0
5344,201811210MIL,MIL,-6.0,226.0
5345,201811210MIL,POR,6.0,226.0
5346,201811210MIN,DEN,2.0,215.5
5347,201811210MIN,MIN,-2.0,215.5
5348,201811210PHI,NOP,3.5,235.0
5349,201811210PHI,PHI,-3.5,235.0
5350,201811210SAS,MEM,2.5,200.5
5351,201811210SAS,SAS,-2.5,200.5
5352,201811210UTA,UTA,-9.5,220.5
5353,201811210UTA,SAC,9.5,220.5
5354,201811230ATL,BOS,-9.0,219.5
5355,201811230ATL,ATL,9.0,219.5
5356,201811230BRK,MIN,-1.0,220.5
5357,201811230BRK,BRK,1.0,220.5
5358,201811230CHI,CHI,2.0,214.0
5359,201811230CHI,MIA,-2.0,214.0
5360,201811230DEN,DEN,-8.0,214.5
5361,201811230DEN,ORL,8.0,214.5
5362,201811230DET,HOU,-3.5,218.0
5363,201811230DET,DET,3.5,218.0
5364,201811230GSW,GSW,-2.5,220.5
5365,201811230GSW,POR,2.5,220.5
5366,201811230IND,SAS,-2.5,206.5
5367,201811230IND,IND,2.5,206.5
5368,201811230LAC,LAC,-3.0,214.5
5369,201811230LAC,MEM,3.0,214.5
5370,201811230LAL,LAL,-2.0,221.0
5371,201811230LAL,UTA,2.0,221.0
5372,201811230MIL,PHO,14.0,228.5
5373,201811230MIL,MIL,-14.0,228.5
5374,201811230NYK,NOP,-7.5,238.0
5375,201811230NYK,NYK,7.5,238.0
5376,201811230OKC,CHO,6.0,227.0
5377,201811230OKC,OKC,-6.0,227.0
5378,201811230PHI,CLE,13.5,220.0
5379,201811230PHI,PHI,-13.5,220.0
5380,201811230TOR,WAS,10.0,228.5
5381,201811230TOR,TOR,-10.0,228.5
5382,201811240CLE,HOU,-11.0,213.0
5383,201811240CLE,CLE,11.0,213.0
5384,201811240DAL,DAL,1.5,219.0
5385,201811240DAL,BOS,-1.5,219.0
5386,201811240GSW,GSW,-5.0,228.0
5387,201811240GSW,SAC,5.0,228.0
5388,201811240MIL,SAS,10.0,221.0
5389,201811240MIL,MIL,-10.0,221.0
5390,201811240MIN,MIN,-10.0,216.5
5391,201811240MIN,CHI,10.0,216.5
5392,201811240OKC,DEN,5.0,217.0
5393,201811240OKC,OKC,-5.0,217.0
5394,201811240WAS,WAS,2.0,240.0
5395,201811240WAS,NOP,-2.0,240.0
5396,201811250ATL,ATL,8.0,230.5
5397,201811250ATL,CHO,-8.0,230.5
5398,201811250BRK,BRK,3.5,223.0
