,GID,Team,Spread,Over/Under
1016,201701020MIL,MIL,-1.5,211.0
1017,201701020MIL,OKC,1.5,211.0
1018,201701020NYK,NYK,-4.5,209.0
1019,201701020NYK,ORL,4.5,209.0
1020,201701030BOS,UTA,6.0,201.0
1021,201701030BOS,BOS,-6.0,201.0
1022,201701030DAL,DAL,1.0,201.0
1023,201701030DAL,WAS,-1.0,201.0
1024,201701030DEN,DEN,-1.0,214.5
1025,201701030DEN,SAC,1.0,214.5
1026,201701030DET,IND,4.0,203.0
1027,201701030DET,DET,-4.0,203.0
1028,201701030LAL,LAL,3.0,202.5
1029,201701030LAL,MEM,-3.0,202.5
1030,201701030PHI,PHI,4.0,203.5
1031,201701030PHI,MIN,-4.0,203.5
1032,201701030PHO,MIA,2.5,208.5
1033,201701030PHO,PHO,-2.5,208.5
1034,201701030SAS,SAS,-5.5,211.0
1035,201701030SAS,TOR,5.5,211.0
1036,201701040CHO,OKC,2.5,209.0
1037,201701040CHO,CHO,-2.5,209.0
1038,201701040CLE,CHI,8.0,208.0
1039,201701040CLE,CLE,-8.0,208.0
1040,201701040GSW,POR,15.5,224.5
1041,201701040GSW,GSW,-15.5,224.5
1042,201701040LAC,MEM,1.0,198.5
1043,201701040LAC,LAC,-1.0,198.5
1044,201701040NYK,MIL,-0.0,213.0
1045,201701040NYK,NYK,0.0,213.0
1046,201701040ORL,ATL,-3.5,205.0
1047,201701040ORL,ORL,3.5,205.0
1048,201701040SAC,MIA,8.5,202.5
1049,201701040SAC,SAC,-8.5,202.5
1050,201701050DAL,DAL,-5.5,204.5
1051,201701050DAL,PHO,5.5,204.5
1052,201701050DEN,DEN,7.0,213.0
1053,201701050DEN,SAS,-7.0,213.0
1054,201701050DET,CHO,4.0,205.0
1055,201701050DET,DET,-4.0,205.0
1056,201701050HOU,HOU,-8.5,225.0
1057,201701050HOU,OKC,8.5,225.0
1058,201701050IND,BRK,10.5,218.5
1059,201701050IND,IND,-10.5,218.5
1060,201701050NOP,ATL,3.0,206.0
1061,201701050NOP,NOP,-3.0,206.0
1062,201701050POR,LAL,5.0,214.5
1063,201701050POR,POR,-5.0,214.5
1064,201701050TOR,TOR,-5.5,202.0
1065,201701050TOR,UTA,5.5,202.0
1066,201701060BOS,BOS,-12.5,213.0
1067,201701060BOS,PHI,12.5,213.0
1068,201701060BRK,CLE,-12.5,222.0
1069,201701060BRK,BRK,12.5,222.0
1070,201701060GSW,GSW,-13.5,214.5
1071,201701060GSW,MEM,13.5,214.5
1072,201701060LAL,LAL,-3.5,210.0
1073,201701060LAL,MIA,3.5,210.0
1074,201701060MIL,NYK,6.0,213.5
1075,201701060MIL,MIL,-6.0,213.5
1076,201701060ORL,HOU,-5.5,222.5
1077,201701060ORL,ORL,5.5,222.5
1078,201701060SAC,LAC,1.5,206.0
1079,201701060SAC,SAC,-1.5,206.0
1080,201701060WAS,MIN,5.0,212.0
1081,201701060WAS,WAS,-5.0,212.0
1082,201701070BOS,BOS,-7.0,215.0
1083,201701070BOS,NOP,7.0,215.0
1084,201701070CHI,CHI,2.0,208.0
1085,201701070CHI,TOR,-2.0,208.0
1086,201701070DAL,DAL,2.0,196.5
1087,201701070DAL,ATL,-2.0,196.5
1088,201701070IND,IND,-7.0,216.0
1089,201701070IND,NYK,7.0,216.0
1090,201701070MIN,UTA,-3.0,195.5
1091,201701070MIN,MIN,3.0,195.5
1092,201701070OKC,DEN,7.5,218.5
1093,201701070OKC,OKC,-7.5,218.5
1094,201701070POR,DET,3.0,212.0
1095,201701070POR,POR,-3.0,212.0
1096,201701070SAS,CHO,10.5,207.0
1097,201701070SAS,SAS,-10.5,207.0
1098,201701080BRK,PHI,2.5,214.5
1099,201701080BRK,BRK,-2.5,214.5
1100,201701080LAC,LAC,-9.5,207.5
1101,201701080LAC,MIA,9.5,207.5
1102,201701080LAL,ORL,2.0,216.0
1103,201701080LAL,LAL,-2.0,216.0
1104,201701080MEM,UTA,3.0,187.5
1105,201701080MEM,MEM,-3.0,187.5
1106,201701080MIL,WAS,4.0,213.0
1107,201701080MIL,MIL,-4.0,213.0
1108,201701080PHO,CLE,-9.0,219.0
1109,201701080PHO,PHO,9.0,219.0
1110,201701080POR,DET,3.5,214.5
1111,201701080POR,POR,-3.5,214.5
1112,201701080SAC,GSW,-10.5,222.5
1113,201701080SAC,SAC,10.5,222.5
1114,201701080TOR,HOU,-2.5,224.5
1115,201701080TOR,TOR,2.5,224.5
1116,201701090CHI,CHI,-1.5,207.0
1117,201701090CHI,OKC,1.5,207.0
1118,201701090MIN,DAL,5.0,196.0
1119,201701090MIN,MIN,-5.0,196.0
1120,201701090NYK,NYK,-4.0,215.5
1121,201701090NYK,NOP,4.0,215.5
1122,201701100BRK,ATL,-7.0,214.0
1123,201701100BRK,BRK,7.0,214.0
1124,201701100GSW,GSW,-15.5,218.0
1125,201701100GSW,MIA,15.5,218.0
1126,201701100HOU,CHO,9.5,223.5
1127,201701100HOU,HOU,-9.5,223.5
1128,201701100LAL,LAL,1.0,223.0
1129,201701100LAL,POR,-1.0,223.0
1130,201701100SAC,DET,2.0,206.0
1131,201701100SAC,SAC,-2.0,206.0
1132,201701100SAS,MIL,10.0,205.5
1133,201701100SAS,SAS,-10.0,205.5
1134,201701100TOR,TOR,-4.5,218.0
1135,201701100TOR,BOS,4.5,218.0
1136,201701100UTA,UTA,3.0,201.5
1137,201701100UTA,CLE,-3.0,201.5
1138,201701100WAS,WAS,-10.0,218.0
1139,201701100WAS,CHI,10.0,218.0
1140,201701110BOS,BOS,-5.5,217.0
1141,201701110BOS,WAS,5.5,217.0
1142,201701110LAC,ORL,9.5,209.0
1143,201701110LAC,LAC,-9.5,209.0
1144,201701110MIN,HOU,-4.0,219.0
1145,201701110MIN,MIN,4.0,219.0
1146,201701110OKC,MEM,5.0,204.5
1147,201701110OKC,OKC,-5.0,204.5
1148,201701110PHI,NYK,-2.0,210.0
1149,201701110PHI,PHI,2.0,210.0
1150,201701110POR,CLE,-3.5,221.0
1151,201701110POR,POR,3.5,221.0
1152,201701120BRK,NOP,-5.0,215.5
1153,201701120BRK,BRK,5.0,215.5
1154,201701120DEN,DEN,4.0,223.0
1155,201701120DEN,IND,-4.0,223.0
1156,201701120GSW,DET,12.5,218.5
1157,201701120GSW,GSW,-12.5,218.5
1158,201701120NYK,CHI,3.0,203.5
1159,201701120NYK,NYK,-3.0,203.5
1160,201701120PHO,DAL,-0.0,201.5
1161,201701120PHO,PHO,0.0,201.5
1162,201701120SAS,LAL,14.5,210.5
1163,201701120SAS,SAS,-14.5,210.5
1164,201701130ATL,ATL,-2.5,212.5
1165,201701130ATL,BOS,2.5,212.5
1166,201701130HOU,MEM,7.0,214.0
1167,201701130HOU,HOU,-7.0,214.0
1168,201701130MIL,MIA,7.0,204.5
1169,201701130MIL,MIL,-7.0,204.5
1170,201701130MIN,MIN,2.0,209.0
1171,201701130MIN,OKC,-2.0,209.0
1172,201701130PHI,PHI,4.5,209.5
1173,201701130PHI,CHO,-4.5,209.5
1174,201701130POR,ORL,7.0,213.5
1175,201701130POR,POR,-7.0,213.5
1176,201701130SAC,CLE,-6.5,211.0
1177,201701130SAC,SAC,6.5,211.0
1178,201701130TOR,TOR,-16.0,222.0
1179,201701130TOR,BRK,16.0,222.0
1180,201701130UTA,DET,9.5,192.5
1181,201701130UTA,UTA,-9.5,192.5
1182,201701140CHI,NOP,2.0,204.0
1183,201701140CHI,CHI,-2.0,204.0
1184,201701140LAC,LAL,11.0,217.0
1185,201701140LAC,LAC,-11.0,217.0
1186,201701140PHO,PHO,11.5,214.0
1187,201701140PHO,SAS,-11.5,214.0
1188,201701140UTA,UTA,-10.5,196.0
1189,201701140UTA,ORL,10.5,196.0
1190,201701140WAS,PHI,9.5,206.5
1191,201701140WAS,WAS,-9.5,206.5
1192,201701150ATL,MIL,3.0,207.5
1193,201701150ATL,ATL,-3.0,207.5
1194,201701150BRK,HOU,-12.5,231.5
1195,201701150BRK,BRK,12.5,231.5
1196,201701150DAL,MIN,1.0,195.5
1197,201701150DAL,DAL,-1.0,195.5
1198,201701150LAL,LAL,2.0,213.5
1199,201701150LAL,DET,-2.0,213.5
1200,201701150MEM,CHI,7.5,191.5
1201,201701150MEM,MEM,-7.5,191.5
1202,201701150SAC,SAC,1.5,212.0
1203,201701150SAC,OKC,-1.5,212.0
1204,201701150TOR,NYK,9.5,218.0
1205,201701150TOR,TOR,-9.5,218.0
1206,201701160BOS,BOS,-5.0,217.0
1207,201701160BOS,CHO,5.0,217.0
1208,201701160DEN,ORL,5.0,221.5
1209,201701160DEN,DEN,-5.0,221.5
1210,201701160GSW,GSW,-8.0,224.5
1211,201701160GSW,CLE,8.0,224.5
1212,201701160IND,NOP,5.5,214.0
1213,201701160IND,IND,-5.5,214.0
1214,201701160LAC,LAC,-7.5,211.5
1215,201701160LAC,OKC,7.5,211.5
1216,201701160MIL,MIL,-7.0,206.5
1217,201701160MIL,PHI,7.0,206.5
1218,201701160NYK,NYK,3.0,209.0
1219,201701160NYK,ATL,-3.0,209.0
1220,201701160PHO,UTA,-5.5,202.0
1221,201701160PHO,PHO,5.5,202.0
1222,201701160WAS,WAS,-3.5,220.0
1223,201701160WAS,POR,3.5,220.0
1224,201701170BRK,TOR,-11.0,227.0
1225,201701170BRK,BRK,11.0,227.0
1226,201701170CHI,DAL,6.0,196.5
1227,201701170CHI,CHI,-6.0,196.5
1228,201701170LAL,LAL,-1.5,228.0
1229,201701170LAL,DEN,1.5,228.0
1230,201701170MIA,HOU,-7.5,220.0
1231,201701170MIA,MIA,7.5,220.0
1232,201701170SAS,SAS,-11.0,202.0
1233,201701170SAS,MIN,11.0,202.0
1234,201701180BOS,NYK,8.0,220.0
1235,201701180BOS,BOS,-8.0,220.0
1236,201701180CHO,POR,4.5,215.5
1237,201701180CHO,CHO,-4.5,215.5
1238,201701180DET,ATL,-1.5,203.5
1239,201701180DET,DET,1.5,203.5
1240,201701180GSW,GSW,-12.5,227.0
1241,201701180GSW,OKC,12.5,227.0
1242,201701180HOU,HOU,-6.5,224.5
1243,201701180HOU,MIL,6.5,224.5
1244,201701180NOP,ORL,5.0,209.5
1245,201701180NOP,NOP,-5.0,209.5
1246,201701180PHI,TOR,-5.5,213.0
1247,201701180PHI,PHI,5.5,213.0
1248,201701180SAC,IND,1.0,214.5
1249,201701180SAC,SAC,-1.0,214.5
1250,201701180WAS,WAS,-3.0,205.0
1251,201701180WAS,MEM,3.0,205.0
1252,201701190CLE,PHO,11.5,219.0
1253,201701190CLE,CLE,-11.5,219.0
1254,201701190LAC,LAC,-2.0,205.0
1255,201701190LAC,MIN,2.0,205.0
1256,201701190MIA,DAL,1.5,197.0
1257,201701190MIA,MIA,-1.5,197.0
1258,201701190NYK,WAS,-2.0,218.5
1259,201701190NYK,NYK,2.0,218.5
1260,201701190SAS,SAS,-12.5,219.0
1261,201701190SAS,DEN,12.5,219.0
1262,201701200ATL,CHI,5.0,203.5
1263,201701200ATL,ATL,-5.0,203.5
1264,201701200CHO,TOR,-0.0,215.5
1265,201701200CHO,CHO,0.0,215.5
1266,201701200DAL,DAL,5.5,187.5
1267,201701200DAL,UTA,-5.5,187.5
1268,201701200HOU,HOU,4.5,236.5
1269,201701200HOU,GSW,-4.5,236.5
1270,201701200LAL,LAL,3.0,220.0
1271,201701200LAL,IND,-3.0,220.0
1272,201701200MEM,MEM,-7.0,202.0
1273,201701200MEM,SAC,7.0,202.0
1274,201701200NOP,NOP,-10.0,219.5
1275,201701200NOP,BRK,10.0,219.5
1276,201701200ORL,ORL,2.5,209.0
1277,201701200ORL,MIL,-2.5,209.0
1278,201701200PHI,POR,-1.5,209.5
1279,201701200PHI,PHI,1.5,209.5
1280,201701210ATL,ATL,-9.5,200.0
1281,201701210ATL,PHI,9.5,200.0
1282,201701210BOS,BOS,-8.0,218.0
1283,201701210BOS,POR,8.0,218.0
1284,201701210CHI,CHI,-6.0,204.0
1285,201701210CHI,SAC,6.0,204.0
1286,201701210CHO,BRK,12.0,220.0
1287,201701210CHO,CHO,-12.0,220.0
1288,201701210CLE,CLE,-2.0,211.5
1289,201701210CLE,SAS,2.0,211.5
1290,201701210DEN,DEN,-3.5,220.0
1291,201701210DEN,LAC,3.5,220.0
1292,201701210DET,DET,-1.5,211.0
1293,201701210DET,WAS,1.5,211.0
1294,201701210MEM,HOU,-1.0,216.5
1295,201701210MEM,MEM,1.0,216.5
1296,201701210MIA,MIA,-1.5,206.0
1297,201701210MIA,MIL,1.5,206.0
1298,201701210NYK,NYK,-5.5,220.0
1299,201701210NYK,PHO,5.5,220.0
1300,201701210UTA,IND,6.0,203.0
1301,201701210UTA,UTA,-6.0,203.0
1302,201701220DAL,LAL,5.5,206.5
1303,201701220DAL,DAL,-5.5,206.5
1304,201701220MIN,MIN,-4.5,221.0
1305,201701220MIN,DEN,4.5,221.0
1306,201701220ORL,GSW,-12.5,224.0
1307,201701220ORL,ORL,12.5,224.0
1308,201701220TOR,PHO,11.5,221.5
1309,201701220TOR,TOR,-11.5,221.5
1310,201701230ATL,ATL,-7.0,205.0
1311,201701230ATL,LAC,7.0,205.0
1312,201701230BRK,SAS,-12.0,217.0
1313,201701230BRK,BRK,12.0,217.0
1314,201701230CHO,WAS,4.0,213.5
1315,201701230CHO,CHO,-4.0,213.5
1316,201701230DET,SAC,5.0,202.5
1317,201701230DET,DET,-5.0,202.5
1318,201701230IND,IND,6.5,219.0
1319,201701230IND,NYK,-6.5,219.0
1320,201701230MIA,MIA,11.0,216.0
1321,201701230MIA,GSW,-11.0,216.0
1322,201701230MIL,HOU,-5.0,223.0
1323,201701230MIL,MIL,5.0,223.0
1324,201701230NOP,CLE,-6.5,216.5
1325,201701230NOP,NOP,6.5,216.5
1326,201701230UTA,UTA,-6.0,203.0
1327,201701230UTA,OKC,6.0,203.0
1328,201701240DEN,UTA,2.0,211.5
1329,201701240DEN,DEN,-2.0,211.5
1330,201701240ORL,CHI,-2.5,206.0
1331,201701240ORL,ORL,2.5,206.0
1332,201701240PHI,LAC,-2.0,200.5
1333,201701240PHI,PHI,2.0,200.5
1334,201701240PHO,MIN,1.0,212.0
1335,201701240PHO,PHO,-1.0,212.0
1336,201701240TOR,SAS,-2.5,207.0
1337,201701240TOR,TOR,2.5,207.0
1338,201701240WAS,BOS,-1.0,220.0
1339,201701240WAS,WAS,1.0,220.0
1340,201701250BOS,BOS,2.5,230.0
1341,201701250BOS,HOU,-2.5,230.0
1342,201701250BRK,MIA,-4.0,213.5
1343,201701250BRK,BRK,4.0,213.5
1344,201701250CHI,CHI,1.5,203.0
1345,201701250CHI,ATL,-1.5,203.0
1346,201701250CHO,CHO,9.0,221.5
1347,201701250CHO,GSW,-9.0,221.5
1348,201701250CLE,CLE,-11.0,214.0
1349,201701250CLE,SAC,11.0,214.0
1350,201701250DAL,DAL,-2.5,204.0
1351,201701250DAL,NYK,2.5,204.0
1352,201701250MEM,TOR,6.0,200.5
1353,201701250MEM,MEM,-6.0,200.5
1354,201701250MIL,MIL,-11.5,209.0
1355,201701250MIL,PHI,11.5,209.0
1356,201701250NOP,OKC,-1.5,215.5
1357,201701250NOP,NOP,1.5,215.5
1358,201701250POR,LAL,10.0,220.0
1359,201701250POR,POR,-10.0,220.0
