PG,SG,SF,PF,C,G,F,UTIL,Projected Points,Points
Malik Monk,Jaylen Brown,Robert Covington,Al Horford,Myles Turner,Victor Oladipo,Greg Monroe,Frank Kaminsky,239.3,230.5
Tyler Dorsey,Jaylen Brown,Jayson Tatum,Al Horford,Dwight Howard,Malik Monk,Dorian Finney-Smith,Myles Turner,239.3,187.5
Malik Monk,Nicolas Batum,Harrison Barnes,Al Horford,Myles Turner,Ben Simmons,Dewayne Dedmon,Frank Kaminsky,239.3,205.5
Darren Collison,Jaylen Brown,Marvin Williams,Al Horford,Miles Plumlee,Victor Oladipo,Frank Kaminsky,Ben Simmons,239.3,222.5
Terry Rozier,Damion Lee,Dorian Finney-Smith,John Collins,Dwight Howard,Malik Monk,Maxi Kleber,Victor Oladipo,239.3,248.75
Tyler Dorsey,Marco Belinelli,Jayson Tatum,Dewayne Dedmon,Dwight Howard,Darren Collison,Robert Covington,Dennis Smith,239.3,232.5
Malik Monk,Jaylen Brown,Jayson Tatum,John Collins,Myles Turner,Victor Oladipo,Dewayne Dedmon,Nicolas Batum,239.3,203.0
Terry Rozier,Jaylen Brown,Jayson Tatum,John Collins,Aron Baynes,Victor Oladipo,Robert Covington,Dorian Finney-Smith,239.2,236.75
Ben Simmons,Damion Lee,Dorian Finney-Smith,Dewayne Dedmon,Dwight Howard,Dennis Smith,Frank Kaminsky,Jeremy Lamb,239.2,233.25
Tyler Dorsey,Marco Belinelli,Robert Covington,Al Horford,Dwight Howard,Terry Rozier,Maxi Kleber,Myles Turner,239.2,208.5
Terry Rozier,Jaylen Brown,Michael Kidd-Gilchrist,Frank Kaminsky,Myles Turner,Victor Oladipo,Maxi Kleber,Ben Simmons,239.2,215.0
Darren Collison,Damion Lee,Jayson Tatum,Dewayne Dedmon,Dwight Howard,Victor Oladipo,Marvin Williams,Frank Kaminsky,239.2,230.25
Victor Oladipo,Damion Lee,Marvin Williams,Greg Monroe,Aron Baynes,Ben Simmons,Harrison Barnes,Jeremy Lamb,239.1,230.25
Terry Rozier,Damion Lee,Dorian Finney-Smith,Al Horford,Aron Baynes,Victor Oladipo,Harrison Barnes,Dennis Smith,239.1,254.0
Tyler Dorsey,Jaylen Brown,Jayson Tatum,John Collins,Miles Plumlee,Victor Oladipo,Richaun Holmes,Ben Simmons,239.1,208.25
Victor Oladipo,Marco Belinelli,Michael Kidd-Gilchrist,Al Horford,Myles Turner,Kemba Walker,Robert Covington,Dorian Finney-Smith,239.0,199.75
Malik Monk,Marco Belinelli,Michael Kidd-Gilchrist,Al Horford,Dwight Howard,Ben Simmons,John Collins,Amir Johnson,239.0,229.75
Darren Collison,Jaylen Brown,Michael Kidd-Gilchrist,Dewayne Dedmon,Myles Turner,Victor Oladipo,Harrison Barnes,Kemba Walker,239.0,163.5
Terry Rozier,Nicolas Batum,Jayson Tatum,John Collins,Myles Turner,Ben Simmons,Dorian Finney-Smith,Frank Kaminsky,239.0,206.0
Tyler Dorsey,Jaylen Brown,Thaddeus Young,Al Horford,Miles Plumlee,Ben Simmons,Robert Covington,Myles Turner,238.9,172.75
Kemba Walker,Jaylen Brown,Dorian Finney-Smith,Al Horford,Myles Turner,Ben Simmons,Mike Muscala,Frank Kaminsky,238.9,184.25
Darren Collison,Damion Lee,Harrison Barnes,Mike Muscala,Dwight Howard,Ben Simmons,Dewayne Dedmon,Amir Johnson,238.9,202.0
Victor Oladipo,Nicolas Batum,Marvin Williams,Mike Muscala,Dwight Howard,Dennis Smith,Dorian Finney-Smith,Dewayne Dedmon,238.9,231.25
Terry Rozier,Jaylen Brown,Marvin Williams,John Collins,Dwight Howard,Dennis Smith,Harrison Barnes,Frank Kaminsky,238.9,252.75
Darren Collison,Jeremy Lamb,Robert Covington,Al Horford,Aron Baynes,Ben Simmons,Harrison Barnes,John Collins,238.8,221.5
Victor Oladipo,Nicolas Batum,Robert Covington,Mike Muscala,Myles Turner,Dennis Smith,Harrison Barnes,John Collins,238.8,233.5
Victor Oladipo,Jaylen Brown,Doug McDermott,Mike Muscala,Myles Turner,Ben Simmons,Harrison Barnes,Marco Belinelli,238.7,202.75
Victor Oladipo,Marco Belinelli,Dorian Finney-Smith,Frank Kaminsky,Aron Baynes,Ben Simmons,Maxi Kleber,Dwight Howard,238.7,226.0
Terry Rozier,Marco Belinelli,Marvin Williams,John Collins,Myles Turner,Victor Oladipo,Richaun Holmes,Kemba Walker,238.7,203.5
Tyler Dorsey,Jaylen Brown,Harrison Barnes,Al Horford,Dwight Howard,Darren Collison,Mike Muscala,Dennis Smith,238.7,214.0
Terry Rozier,Jaylen Brown,Robert Covington,Mike Muscala,Aron Baynes,Ben Simmons,Greg Monroe,Myles Turner,238.6,202.75
Malik Monk,Damion Lee,Robert Covington,Al Horford,Myles Turner,Darren Collison,Richaun Holmes,Ben Simmons,238.6,224.75
Malik Monk,Marco Belinelli,Jayson Tatum,Dwight Powell,Myles Turner,Ben Simmons,Marvin Williams,Robert Covington,238.6,255.25
Malik Monk,Jeremy Lamb,Marvin Williams,Amir Johnson,Dwight Howard,Ben Simmons,Robert Covington,Dorian Finney-Smith,238.6,230.25
Ben Simmons,Jaylen Brown,Dorian Finney-Smith,Richaun Holmes,Aron Baynes,Damion Lee,Harrison Barnes,Dwight Howard,238.6,202.5
Dennis Smith,Damion Lee,Thaddeus Young,John Collins,Dwight Howard,Marco Belinelli,Robert Covington,Myles Turner,238.6,223.5
Tyler Dorsey,Nicolas Batum,Thaddeus Young,John Collins,Dwight Howard,Malik Monk,Amir Johnson,Victor Oladipo,238.6,191.25
